Código de medida,Línea/enfoque,Línea de acción,Título de medida,"Adaptación, Mitigación o Pérdidas y daños",Columna1,Etiquetas de fila,Cuenta de Código de medida
GS-19,Gestión sostenible de sistemas alimentarios y bosques ,Manejo integrado de agroecosistemas,Fortalecer los programas de extensión agropecuaria y acceso a la información,Adaptación,,,
GS-20,Gestión sostenible de sistemas alimentarios y bosques ,Manejo integrado de agroecosistemas,Manejar de manera sostenible las pesquerías marítimas,Adaptación,,,
GS-21,Gestión sostenible de sistemas alimentarios y bosques ,Manejo integrado de agroecosistemas,Fomentar la ganadería agroecológica y regenerativa,Adaptación y Mitigación,,,
GS-22,Gestión sostenible de sistemas alimentarios y bosques ,Manejo integrado de agroecosistemas,Fomentar el ordenamiento de cuencas forestales ,Adaptación y Mitigación,,,
GS-23,Gestión sostenible de sistemas alimentarios y bosques ,Mecanismos de trazabilidad de producciones,Fomentar prácticas de manejo forestal sostenible,Adaptación y Mitigación,,,
GS-24,Gestión sostenible de sistemas alimentarios y bosques ,Mecanismos de trazabilidad de producciones,Extender el uso del SACVEFOR a todo el territorio nacional,Adaptación,,,
GS-25,Gestión sostenible de sistemas alimentarios y bosques ,Reducción de la deforestación,Promover la mejora continua del Sistema Nacional de Monitoreo de Bosques Nativos,Adaptación y Mitigación,,,
GS-26,Gestión sostenible de sistemas alimentarios y bosques ,Relocalización y arraigo poblacional,"Fortalecer Programas de Titulación, Arraigo Rural y Regularización de la Tierra",Adaptación,,,
GS-27,Gestión sostenible de sistemas alimentarios y bosques ,Relocalización y arraigo poblacional,Promover estrategias para el arraigo de comunidades indígenas y campesinas,Adaptación,,,
GS-28,Gestión sostenible de sistemas alimentarios y bosques ,Relocalización y arraigo poblacional,Crear el Programa Productoras de Bosques Nativos ,Adaptación,,,
MS-01,Movilidad sostenible,Adaptación de la infraestructura y la operación del transporte al cambio climático,Promover la incorporación del enfoque de adaptación al cambio climático en el diseño y mantenimiento de infraestructuras de transporte,Adaptación,,,
MS-02,Movilidad sostenible,Adaptación de la infraestructura y la operación del transporte al cambio climático,Incorporar infraestructura fluvio marítima de transporte resiliente,Adaptación,,,
MS-03,Movilidad sostenible,Adaptación de la infraestructura y la operación del transporte al cambio climático,Evaluar los impactos del cambio climático en los sistemas de transporte,Adaptación,,,
MS-04,Movilidad sostenible,Adaptación de la infraestructura y la operación del transporte al cambio climático,Fortalecer la prevención y contingencia ante eventos extremos de Cambio climático ,Adaptación,,,
MS-05,Movilidad sostenible,Adaptación de la infraestructura y la operación del transporte al cambio climático,Fortalecer las capacidades de las personas responsables del diseño y planificación de las infraestructuras de transporte en adaptación al cambio climático,Adaptación,,,
MS-06,Movilidad sostenible,Desarrollo de la movilidad sostenible a nivel urbano,Apoyar el desarrollo de sistemas de movilidad urbana sostenible,Mitigación,,,
MS-07,Movilidad sostenible,Desarrollo de la movilidad sostenible a nivel urbano,Afianzar y difundir modalidades de trabajo a distancia (Teletrabajo),Mitigación,,,
MS-08,Movilidad sostenible,Desarrollo de la movilidad sostenible a nivel urbano,"Promover la movilidad sostenible a partir de proyectos de senderos, paseos peatonales, bicisendas y ciclovías",Mitigación,,,
MS-09,Movilidad sostenible,Fortalecimiento del sistema ferroviario,Jerarquizar los servicios ferroviarios de transporte de pasajeros/as,Mitigación,,,
MS-10,Movilidad sostenible,Fortalecimiento del sistema ferroviario,Jerarquizar los ferrocarriles nacionales de cargas,Mitigación,,,
MS-11,Movilidad sostenible,Jerarquización de las vías navegables,Jerarquizar el transporte fluvio-marítimo,Adaptación y Mitigación,,,
MS-12,Movilidad sostenible,Reducción de Emisiones de la Aviación Argentina.,Reducir las emisiones de la aviación argentina,Mitigación,,,
MS-13,Movilidad sostenible,Reemplazo progresivo de los combustibles fósiles,Promover la renovación de la flota vehicular pública,Mitigación,,,
MS-14,Movilidad sostenible,Reemplazo progresivo de los combustibles fósiles,Promover la renovación de vehículos particulares livianos,Mitigación,,,
MS-15,Movilidad sostenible,Reemplazo progresivo de los combustibles fósiles,Promover la renovación de flota de camiones utilizados en el transporte de cargas de larga distancia,Mitigación,,,
MS-16,Movilidad sostenible,Reemplazo progresivo de los combustibles fósiles,Promover la renovación de flota de vehículos utilizados en el distribución de mercaderías y paquetes de última milla,Mitigación,,,
MS-17,Movilidad sostenible,Reemplazo progresivo de los combustibles fósiles,Promover la renovación de flota de buses de transporte urbano de pasajeros/as,Mitigación,,,
MS-18,Movilidad sostenible,Reemplazo progresivo de los combustibles fósiles,Promover la renovación de flota de buses de transporte de pasajeros/as de larga distancia,Mitigación,,,
MS-19,Movilidad sostenible,Reemplazo progresivo de los combustibles fósiles,Promover la renovación de flota de buques de cabotaje,Mitigación,,,
MS-20,Movilidad sostenible,Reemplazo progresivo de los combustibles fósiles,Promover la renovación de flotas de buques remolcadores,Mitigación,,,
MS-21,Movilidad sostenible,Uso eficiente de la energía del sector transporte,Promover medidas de eficiencia en el sector transporte,Mitigación,,,
TS-01,Territorios sostenibles y resilientes,Herramientas para la gestión de residuos y efluentes,Fortalecer la gestión adecuada de residuos correspondientes a envases,Adaptación y Mitigación,,,
TS-02,Territorios sostenibles y resilientes,Herramientas para la gestión de residuos y efluentes,Mejorar las condiciones laborales de los/as trabajadores/as recuperadores,Adaptación,,,
TS-03,Territorios sostenibles y resilientes,Herramientas para la gestión de residuos y efluentes,Fortalecer el manejo de la fracción orgánica,Mitigación,,,
TS-04,Territorios sostenibles y resilientes,Herramientas para la gestión de residuos y efluentes,Producir energía a partir del biogás generado en rellenos sanitarios ,Mitigación,,,
TS-05,Territorios sostenibles y resilientes,Herramientas para la gestión de residuos y efluentes,Construir centros para el tratamiento y disposición final de residuos contemplando las proyecciones climáticas en los parámetros de operación y diseño ,Adaptación y Mitigación,,,
TS-06,Territorios sostenibles y resilientes,Herramientas para la gestión de residuos y efluentes,Fortalecer las etapas de la Gestión Integral de Residuos a través de normativas locales,Adaptación,,,
TS-07,Territorios sostenibles y resilientes,Herramientas para la gestión de residuos y efluentes,Erradicar Basurales a Cielo Abierto,Adaptación y Mitigación,,,
TS-08,Territorios sostenibles y resilientes,Infraestructuras y equipamiento sostenibles,Mejorar las condiciones de habitabilidad de las familias productoras de alimentos para promover el arraigo,Adaptación y Mitigación,,,
TS-09,Territorios sostenibles y resilientes,Infraestructuras y equipamiento sostenibles,Promover proyectos de infraestructura verde y azul en contexto urbano,Adaptación,,,
TS-10,Territorios sostenibles y resilientes,Infraestructuras y equipamiento sostenibles,Elaborar obras de mitigación de riesgos hídricos y deslizamiento de suelos que contemplen los escenarios futuros de cambio climático,Adaptación,,,
TS-11,Territorios sostenibles y resilientes,Infraestructuras y equipamiento sostenibles,Regularizar redes de distribución de energía eléctrica,Adaptación,,,
TS-12,Territorios sostenibles y resilientes,Infraestructuras y equipamiento sostenibles,Incorporar la perspectiva climática en los parámetros de diseño de obras futuras,Adaptación,,,
TS-13,Territorios sostenibles y resilientes,Infraestructuras y equipamiento sostenibles,Promover la adecuación de infraestructura crítica existente para aumentar su resiliencia frente al cambio climático,Adaptación,,,
TS-14,Territorios sostenibles y resilientes,Infraestructuras y equipamiento sostenibles,Fortalecer la infraestructura vial para mejorar la conectividad y transitabilidad de personas y cargas,Adaptación,,,
TS-15,Territorios sostenibles y resilientes,Infraestructuras y equipamiento sostenibles,Ampliar la cobertura de los establecimientos de salud,Adaptación,,,
TS-16,Territorios sostenibles y resilientes,Planificación territorial y gestión integral de recursos hídricos,Fortalecer las capacidades de gobiernos locales para el ordenamiento ambiental territorial con enfoque de gestión integral de riesgos y adaptación al cambio climático,Adaptación,,,
TS-17,Territorios sostenibles y resilientes,Planificación territorial y gestión integral de recursos hídricos,"Fortalecer la cartografía existente, elaborar mapas de riesgo y promover el empleo de estas herramientas de gestión de información hidrológica georreferenciada para el diseño de proyectos",Adaptación,,,
TS-18,Territorios sostenibles y resilientes,Planificación territorial y gestión integral de recursos hídricos,"Diseñar y ejecutar proyectos para retener, distribuir y aprovechar el recurso hídrico para el desarrollo de actividades económicas y productivas considerando los escenarios climáticos futuros",Adaptación y Mitigación,,,
TS-19,Territorios sostenibles y resilientes,Planificación territorial y gestión integral de recursos hídricos,Adecuar y construir centros locales para la gestión integral de residuos sólidos urbanos,Mitigación,,,
TS-20,Territorios sostenibles y resilientes,Planificación territorial y gestión integral de recursos hídricos,Fortalecer la Red de Monitoreo de los Recursos Hídricos,Adaptación,,,
TS-21,Territorios sostenibles y resilientes,Planificación territorial y gestión integral de recursos hídricos,Apoyar la elaboración y el financiamiento de Planes Directores para el Manejo Integral del Recurso Hídrico,Adaptación,,,
TS-22,Territorios sostenibles y resilientes,Planificación territorial y gestión integral de recursos hídricos,Promover el desarrollo de modelos hidrometeorológicos que contemplen los escenarios futuros de cambio climático,Adaptación,,,
TS-23,Territorios sostenibles y resilientes,Planificación territorial y gestión integral de recursos hídricos,Ampliar y mejorar la cobertura de agua segura y saneamiento en población urbana y rural agrupada,Adaptación,,,
TS-24,Territorios sostenibles y resilientes,Planificación territorial y gestión integral de recursos hídricos,Ampliar y mejorar la cobertura de agua segura de la población rural dispersa,Adaptación,,,
TS-25,Territorios sostenibles y resilientes,Planificación territorial y gestión integral de recursos hídricos,Incrementar el acceso a servicios básicos de las familias en barrios populares RENABAP,Adaptación,,,
TS-26,Territorios sostenibles y resilientes,Viviendas sostenibles,Promover el uso de materiales y sistemas constructivos con baja huella de Carbono,Mitigación,,,
TS-27,Territorios sostenibles y resilientes,Viviendas sostenibles,Incrementar la Eficiencia Energética e incorporar Energías Renovables en los proyectos públicos de viviendas,Adaptación y Mitigación,,,
TS-28,Territorios sostenibles y resilientes,Viviendas sostenibles,Promover el uso de madera en edificaciones,Mitigación,,,
TE-01,Transición energética,Desarrollo de capacidades tecnológicas nacionales,Desarrollar la cadena de valor de energías renovables,Adaptación y Mitigación,,,
TE-02,Transición energética,Eficiencia energética,Promover la mejora en el acondicionamiento térmico de ambientes en el sector residencial,Adaptación y Mitigación,,,
TE-03,Transición energética,Eficiencia energética,"Sustituir equipos de conservación de alimentos en viviendas, comercios y entidades con fines socio-comunitarios",Mitigación,,,
TE-04,Transición energética,Eficiencia energética,Promover la eficiencia energética en la producción de agua caliente sanitaria,Mitigación,,,
TE-05,Transición energética,Eficiencia energética,Incrementar la participación de luminarias con tecnología LED en inmuebles.,Adaptación y Mitigación,,,
TE-06,Transición energética,Eficiencia energética,Promover la incorporación de economizadores de agua en inmuebles,Adaptación y Mitigación,,,
TE-07,Transición energética,Eficiencia energética,Mejorar la eficiencia energética en establecimientos industriales y comerciales,Adaptación y Mitigación,,,
TE-08,Transición energética,Eficiencia energética,Sensibilizar y concientizar a las comunidades sobre el uso racional de la energía,Adaptación y Mitigación,,,
TE-09,Transición energética,Eficiencia energética,Aumentar la eficiencia en la generación de electricidad en centrales termoeléctricas mediante cogeneración,Mitigación,,,
TE-10,Transición energética,Eficiencia energética,Implementar proyectos de reconversión LED en alumbrado público,Adaptación y Mitigación,,,
TE-11,Transición energética,Eficiencia energética,Incorporar bombas de calor para calefacción en inmuebles,Mitigación,,,
TE-12,Transición energética,Eficiencia energética,"Diseño e implementación de instrumentos tendientes a la promoción y adopción de tecnologías para mejorar la eficiencia y reducir las emisiones de metano en operaciones de exploración, producción y/o procesamiento de hidrocarburos (upstream)",Mitigación,,,
TE-13,Transición energética,Energía limpia en emisiones de GEI,Incorporar fuentes de energía renovable en industrias y comercios,Adaptación y Mitigación,,,
TE-14,Transición energética,Energía limpia en emisiones de GEI,Promover la instalación de colectores solares en viviendas,Mitigación,,,
TE-15,Transición energética,Energía limpia en emisiones de GEI,Implementar proyectos de generación eléctrica a partir de fuentes renovables no convencionales conectadas a la red,Adaptación y Mitigación,Inventario Nacional de Gases de Efecto Invernadero y Monitoreo de Medidas de Mitigación (ambiente.gob.ar),,
TE-16,Transición energética,Energía limpia en emisiones de GEI,Potenciar la generación nuclear,Mitigación,,,
TE-17,Transición energética,Energía limpia en emisiones de GEI,Potenciar la generación hidroeléctrica considerando los escenarios futuros de cambio climático en las variables de diseño,Adaptación y Mitigación,,,
TE-18,Transición energética,Energía limpia en emisiones de GEI,Promover la generación eléctrica distribuida de energía renovable integrada a la red eléctrica pública ,Adaptación y Mitigación,,,
TE-19,Transición energética,Energía limpia en emisiones de GEI,Promover el corte con biocombustibles,Mitigación,,,
TE-20,Transición energética,Energía limpia en emisiones de GEI,Brindar acceso a energía a comunidades rurales aisladas a partir de fuentes renovables,Adaptación y Mitigación,,,
TE-21,Transición energética,Energía limpia en emisiones de GEI,Aprovechar de manera sostenible la biomasa residual del sector agropecuario y agroindustrial,Mitigación,,,
TE-22,Transición energética,Energía limpia en emisiones de GEI,Promover la adopción de biogás para uso final en el sector de transporte,Mitigación,,,
TE-23,Transición energética,Energía limpia en emisiones de GEI,Reducir la contaminación de los combustibles líquidos utilizados en el territorio nacional,Mitigación,,,
TE-24,Transición energética,Energía limpia en emisiones de GEI,Desarrollar mercados eléctricos regionales de energía renovable a baja escala,Adaptación y Mitigación,,,
TE-25,Transición energética,Estrategia nacional para el desarrollo del hidrógeno,Promover la adopción del hidrógeno con bajas emisiones de gases de efecto invernadero y el desarrollo de la cadena de valor,Mitigación,,,
TE-26,Transición energética,Estrategia nacional para el desarrollo del hidrógeno,Identificar redes de investigación e institutos como aporte para una Estrategia Nacional de H2,Mitigación,,,
TE-27,Transición energética,Estrategia nacional para el desarrollo del hidrógeno,Fortalecer la investigación y el desarrollo de la producción de hidrógeno bajo en carbono en el país,Mitigación,,,
TE-28,Transición energética,Gasificación,Promover el uso del combustibles gaseosos en reemplazo de combustibles fósiles con mayor factor de emisión de GEI,Mitigación,,,
TE-29,Transición energética,Resiliencia del sistema energético,Ampliar y mejorar el sistema de transmisión eléctrica considerando los escenarios futuros de cambio climático,Adaptación,,,
TE-30,Transición energética,Resiliencia del sistema energético,Fortalecer las redes de distribución de energía eléctrica existentes para aumentar su resiliencia frente al cambio climático,Adaptación,,,
TE-31,Transición energética,Resiliencia del sistema energético,"Aumentar el acceso seguro a energía en poblaciones rurales y urbanas, con foco en barrios populares",Adaptación,,,
TE-32,Transición energética,Planificación y monitoreo del desarrollo energético,"Fortalecer la planificación energética limpia, justa y sostenible",Mitigación,,,
TE-33,Transición energética,Planificación y monitoreo del desarrollo energético,"Fortalecer las capacidades de las autoridades de aplicación provincial en materia de identificación, monitoreo y control de emisiones operativas (quema y venteo) y fugitivas de gases de efecto invernadero y metano del upstream.",Mitigación,,,
TE-34,Transición energética,Planificación y monitoreo del desarrollo energético,"Desarrollar planes de monitoreo, reporte, verificación y mitigación de emisiones de GEIs con objetivos de cumplimiento obligatorio por parte de las empresas",Adaptación y Mitigación,,,
TP-01,Transición productiva,Desarrollo de cadenas de valor nacional,Fortalecer la cadena de valor de la industria del reciclado,Adaptación y Mitigación,,,
TP-02,Transición productiva,Desarrollo de cadenas de valor nacional,Desarrollar la cadena de valor de los sistemas constructivos industrializados,Mitigación,,,
TP-03,Transición productiva,Desarrollo de cadenas de valor nacional,Impulsar la transición a la Industria 4.0,Mitigación,,,
TP-04,Transición productiva,Diseño sostenible e innovación de procesos,"Mejorar la gestión hídrica, prioritariamente dentro de las operaciones y proyectos mineros y, complementariamente, financiar ahorros de agua en otros sectores productivos, a partir de fondos del sector minero

",Adaptación,,,
TP-05,Transición productiva,Diseño sostenible e innovación de procesos,Mejorar la eficiencia hídrica en industrias,Adaptación,,,
TP-06,Transición productiva,Diseño sostenible e innovación de procesos,Diseñar y promover iniciativas para la reducción de emisiones de GEI a lo largo de la cadena de valor de las actividades turísticas,Mitigación,,,
TP-07,Transición productiva,Diseño sostenible e innovación de procesos,Promover la implementación de los programas de calidad y sostenibilidad que aborden temáticas vinculadas al cambio climático,Adaptación y Mitigación,,,
TP-08,Transición productiva,Diseño sostenible e innovación de procesos,Incrementar la eficiencia energética e incorporar energías renovables en proyectos y operaciones mineras,Mitigación,,,
TP-09,Transición productiva,Gestión de riesgos climáticos el sector industrial y turístico,"Promover la integración de la adaptación y mitigación al cambio climático en planes, programas y planificación turística provincial",Adaptación y Mitigación,,,
TP-10,Transición productiva,Gestión de riesgos climáticos el sector industrial y turístico,Incorporar la variable climatica en la formulacion y evaluacion de los nuevos proyectos turisticos privados,Adaptación,,,
TP-11,Transición productiva,Gestión de riesgos climáticos el sector industrial y turístico,Promover la diversificación de la oferta turística de los destinos frente a los distintos riesgos climáticos que afectan su desarrollo,Adaptación,,,
TP-12,Transición productiva,Gestión de riesgos climáticos el sector industrial y turístico,Incorporar la variable climática en los Planes de Cierre de Minas y Evaluación de Impacto Ambiental de proyectos mineros,Adaptación,,,
TP-13,Transición productiva,Resiliencia productiva,Fortalecer las capacidades técnicas de las industrias y comercios para aumentar su resiliencia frente al cambio climático ,Adaptación,,,
TP-14,Transición productiva,Resiliencia productiva,Fortalecer las capacidades técnicas de los organismos turísticos provinciales y municipales en materia de cambio climático y gestión integral del riesgo ,Adaptación,,,
TP-15,Transición productiva,Resiliencia productiva,Sensibilizar y capacitar a prestadores/as y trabajadores/as del sector turístico sobre cambio climático,Adaptación,,,
TP-16,Transición productiva,Resiliencia productiva,Sensibilizar a los y las turistas sobre cambio climático,Adaptación,,,
TP-17,Transición productiva,Resiliencia productiva,Financiar la implementación de infraestructura resiliente en destinos turísticos,Adaptación,,,
TP-18,Transición productiva,Economía Circular,Fomentar la recuperación de residuos en industrias y el adecuado tratamiento de los mismos,Adaptación y Mitigación,,,
TP-19,Transición productiva,Economía Circular,Consolidar el carácter productivo de los residuos,Mitigación,,,
