"Adaptación, Mitigación o Pérdidas y daños",Código de medida,Línea/enfoque,Línea de acción,Título de medida,"Adaptación, Mitigación o Pérdidas y daños",Autoridad de aplicación,,Comentarios,1.1.1,1.2.1,1.2.2,1.2.3,1.2.4,1.3.1,1.3.2,1.3.3,1.3.4,1.3.5,2.1.1,2.2.1,3.1.1,3.1.2,3.1.3,3.2.1,3.3.1,3.3.2,3.4.1,3.4.2,3.4.3,3.5.1,3.6.1,3.6.2,3.7.1,3.8.1,3.8.2,3.9.1,3.9.2,3.10.1,4.1.1,4.2.1,4.3.1,5.1.1
Adaptación,GS-04,Gestión sostenible de sistemas alimentarios y bosques ,Eficiencia y diversificación de la producción,Promover el manejo sostenible de los sistemas productivos forestales,Adaptación y Mitigación,Secretaría de Agricultura Ganadería y Pesca,4,"No puse 1.1.1 ni 1.2.1 pero si lo tomásemos en sentido super amplio, podría entrar. Muy colateralmente podría hacer un aporte a 3.5.1 y a 3.6.2. El 3.10.1 puede ser polémico.",,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,x,,,,x
Mitigación,GS-05,Gestión sostenible de sistemas alimentarios y bosques ,Eficiencia y diversificación de la producción,Eficientizar la producción ganadera,Mitigación,Secretaría de Agricultura Ganadería y Pesca,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,GS-06,Gestión sostenible de sistemas alimentarios y bosques ,Eficiencia y diversificación de la producción,Reducir Pérdidas y Desperdicios de Alimentos,Adaptación y Mitigación,Secretaría de Agricultura Ganadería y Pesca,5,Revisar si les dejamos 2.1.1 y 3.5.1,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,x,x,,x
Adaptación,GS-07,Gestión sostenible de sistemas alimentarios y bosques ,Eficiencia y diversificación de la producción,Fortalecer el agregado de valor agropecuario,Adaptación,Secretaría de Agricultura Ganadería y Pesca,5,,,,,,,,,,,,,x,,,,,,,,,,x,,,x,,,,,,x,x,,
Adaptación,GS-08,Gestión sostenible de sistemas alimentarios y bosques ,Gestión de riesgos climáticos agroforestales y pesqueros,Mejorar caminos rurales,Adaptación,Secretaría de Agricultura Ganadería y Pesca,3,"No puse la 3.1.1 porque no hubo una discusión sobre incluir proyecciones de cc en el mantenimiento de caminos, pero si sucediese, correspondería.",,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,x,,,
Adaptación,GS-09,Gestión sostenible de sistemas alimentarios y bosques ,Gestión de riesgos climáticos agroforestales y pesqueros,Mejorar la infraestructura intrapredial y comunitaria rural.,Adaptación,Secretaría de Agricultura Ganadería y Pesca,3,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,x,,
Adaptación,GS-10,Gestión sostenible de sistemas alimentarios y bosques ,Gestión de riesgos climáticos agroforestales y pesqueros,Mejorar la prevención agropecuaria ante eventos climáticos extremos,Adaptación,Secretaría de Agricultura Ganadería y Pesca,4,Marqué las primeras metas pero va a depender mucho de cómo se implementen las mesas (si toman el abordaje tradicional de emergencias agropecuarias no contaría),,,,,,,,,,,,x,x,,,,,,,,,x,,,,,,,,,x,,,
Adaptación,GS-11,Gestión sostenible de sistemas alimentarios y bosques ,Gestión de riesgos climáticos agroforestales y pesqueros,Mejorar la respuesta de emergencias agropecuarias ante eventos climáticos,Adaptación,Secretaría de Agricultura Ganadería y Pesca,2,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,
Adaptación,GS-12,Gestión sostenible de sistemas alimentarios y bosques ,Gestión de riesgos climáticos agroforestales y pesqueros,Promover instrumentos de gestión del riesgo,Adaptación,Secretaría de Agricultura Ganadería y Pesca,2,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,
Pérdidas y daños,GS-13,Gestión sostenible de sistemas alimentarios y bosques ,Gestión de riesgos climáticos agroforestales y pesqueros,Fortalecer el registro de daños y pérdidas por eventos climáticos,Pérdidas y daños,Secretaría de Agricultura Ganadería y Pesca,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación,GS-14,Gestión sostenible de sistemas alimentarios y bosques ,Gestión de riesgos climáticos agroforestales y pesqueros,"Fortalecer las organizaciones, cooperativas y comunidades frente al cambio y la variabilidad climática",Adaptación,Secretaría de Agricultura Ganadería y Pesca,6,Podría ser habilitante para 3.2.1,,,,,,,,,x,,x,x,,,,,,,,,,x,,,,,,,,,x,x,,
Adaptación y Mitigación,GS-15,Gestión sostenible de sistemas alimentarios y bosques ,Gestión de riesgos climáticos agroforestales y pesqueros,Prevenir incendios forestales en Bosques Nativos,Adaptación y Mitigación,Ministerio de Ambiente y Desarrollo Sostenible,4,,,,,,,,,,,,,,x,,,,,,,,,x,,x,,,,,,,,,,x
Adaptación,GS-16,Gestión sostenible de sistemas alimentarios y bosques ,Gestión de riesgos climáticos agroforestales y pesqueros,"Fomentar la investigación, el desarrollo y la generación de información sobre el cambio y la variabilidad climática en el sector agropecuario, forestal y pesquero",Adaptación,Secretaría de Agricultura Ganadería y Pesca,5,Está rara redactada y con los instrumentos que tiene no alcanzaría para efectivizarla,,x,,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Adaptación,GS-17,Gestión sostenible de sistemas alimentarios y bosques ,Manejo integrado de agroecosistemas,Fomentar prácticas agroecológicas,Adaptación,Secretaría de Agricultura Ganadería y Pesca,11,,,x,,,,,x,,x,,x,x,x,,,,,x,,,,x,,,,,,,,,x,x,,x
Mitigación,GS-18,Gestión sostenible de sistemas alimentarios y bosques ,Manejo integrado de agroecosistemas,Promover el manejo de Bosques con Ganadería integrada,Adaptación y Mitigación,Ministerio de Ambiente y Desarrollo Sostenible y Secretaría de Agricultura Ganadería y Pesca,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación,GS-19,Gestión sostenible de sistemas alimentarios y bosques ,Manejo integrado de agroecosistemas,Fortalecer los programas de extensión agropecuaria y acceso a la información,Adaptación,Secretaría de Agricultura Ganadería y Pesca,8,"Verificar si consideramos que aporta a indicadores como o1.2.1 o no (no habla de que la actividad extensionista involucre cc, pero podríamos esperarlo)",,x,,x,x,,,,x,,,x,,,,,,,,,,x,,,,,,,,,x,x,,
Adaptación,GS-20,Gestión sostenible de sistemas alimentarios y bosques ,Manejo integrado de agroecosistemas,Manejar de manera sostenible las pesquerías marítimas,Adaptación,Secretaría de Agricultura Ganadería y Pesca,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,GS-21,Gestión sostenible de sistemas alimentarios y bosques ,Manejo integrado de agroecosistemas,Fomentar la ganadería agroecológica y regenerativa,Adaptación y Mitigación,Secretaría de Agricultura Ganadería y Pesca,2,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x
Adaptación y Mitigación,GS-22,Gestión sostenible de sistemas alimentarios y bosques ,Manejo integrado de agroecosistemas,Fomentar el ordenamiento de cuencas forestales ,Adaptación y Mitigación,Ministerio de Ambiente y Desarrollo Sostenible,4,Se superpone  con la medida GS-04,,X,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,x
Adaptación y Mitigación,GS-23,Gestión sostenible de sistemas alimentarios y bosques ,Mecanismos de trazabilidad de producciones,Fomentar prácticas de manejo forestal sostenible,Adaptación y Mitigación,Ministerio de Ambiente y Desarrollo Sostenible,4,Si incluyesen proyecciones de cc podría aportar a las primeras metas pero no hablamos de esto con bosques,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,x,,,,x
Adaptación,GS-24,Gestión sostenible de sistemas alimentarios y bosques ,Mecanismos de trazabilidad de producciones,Extender el uso del SACVEFOR a todo el territorio nacional,Adaptación y Mitigación,Ministerio de Ambiente y Desarrollo Sostenible,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
Adaptación y Mitigación,GS-25,Gestión sostenible de sistemas alimentarios y bosques ,Reducción de la deforestación,Promover la mejora continua del Sistema Nacional de Monitoreo de Bosques Nativos,Adaptación y Mitigación,Ministerio de Ambiente y Desarrollo Sostenible,1,"Sistema de información y alerta temprana.
Ver si le dejamos 3.1.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
Adaptación,GS-26,Gestión sostenible de sistemas alimentarios y bosques ,Relocalización y arraigo poblacional,"Fortalecer Programas de Titulación, Arraigo Rural y Regularización de la Tierra",Adaptación,Secretaría de Agricultura Ganadería y Pesca,3,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,x,
Adaptación,GS-27,Gestión sostenible de sistemas alimentarios y bosques ,Relocalización y arraigo poblacional,Promover estrategias para el arraigo de comunidades indígenas y campesinas,Adaptación,Ministerio de Ambiente y Desarrollo Sostenible,4,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,x,x,,
Adaptación,GS-28,Gestión sostenible de sistemas alimentarios y bosques ,Relocalización y arraigo poblacional,Crear el Programa Productoras de Bosques Nativos ,Adaptación,Ministerio de Ambiente y Desarrollo Sostenible,4,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,x,x,,
"Adaptación, Mitigación y Pérdidas y daños",IN-01,"Investigación, desarrollo tecnológico e innovación",Generación de información climática,Desarrollar el Sistema Nacional de Información sobre Cambio Climático,"Adaptación, Mitigación y Pérdidas y daños",Ministerio de Ambiente y Desarrollo Sostenible,3,,,,X,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,
Adaptación,IN-02,"Investigación, desarrollo tecnológico e innovación",Generación de información climática,Fortalecer la red de monitoreo meteorológico,Adaptación,Servicio Meteorológico Nacional,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación,IN-03,"Investigación, desarrollo tecnológico e innovación",Generación de información climática,"Modernizar el flujo de datos para el acceso a la información para la población, tomadoras/es de decisiones gubernamentales y sectores productivos",Adaptación,Servicio Meteorológico Nacional,4,,,x,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación,IN-04,"Investigación, desarrollo tecnológico e innovación",Generación de información climática,Promover la provisión de alertas meteorológicas basadas en impacto,Adaptación,Servicio Meteorológico Nacional,1,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pérdidas y daños,IN-05,"Investigación, desarrollo tecnológico e innovación",Generación de información climática,Crear líneas de trabajo y fortalecer las existentes vinculadas a migraciones climáticas,Pérdidas y daños,Ministerio de Ambiente y Desarrollo Sostenible,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pérdidas y daños,IN-06,"Investigación, desarrollo tecnológico e innovación",Generación de información climática,Crear matrices migratorias de origen-destino a nivel de radio censal o municipio y superponer con capas generadas por el Sistema de Mapas de Riesgo del Cambio Climático (SIMARCC).,Pérdidas y daños,Ministerio de Ambiente y Desarrollo Sostenible,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación,IN-07,"Investigación, desarrollo tecnológico e innovación",Generación de información climática,Actualizar el Índice de Vulnerabilidad Social frente a Desastres (IVSD) con perspectiva de género,Adaptación,Ministerio de Ambiente y Desarrollo Sostenible,1,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación,IN-08,"Investigación, desarrollo tecnológico e innovación",Generación de información climática,Mejorar el sistema de información climática ,Adaptación,"Ministerio de Ciencia, Tecnología e Innovación y Ministerio de Defensa",0,La supercomputadora...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adaptación, Mitigación y Pérdidas y daños",IN-09,"Investigación, desarrollo tecnológico e innovación",Orientación de agendas de investigación,Promover proyectos de investigación y desarrollo destinados a brindar apoyo a organismos públicos en la búsqueda de soluciones a desafíos climáticos,"Adaptación, Mitigación y Pérdidas y daños","Ministerio de Ciencia, Tecnología e Innovación",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación,IN-10,"Investigación, desarrollo tecnológico e innovación",Orientación de agendas de investigación,Fortalecer las capacidades para el estudio de la criósfera,Adaptación y Pérdidas y daños,Ministerio de Ambiente y Desarrollo Sostenible,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adaptación, Mitigación y Pérdidas y daños",IN-11,"Investigación, desarrollo tecnológico e innovación","Promoción de soluciones innovadoras
",Fomentar la articulación y la coordinación entre las instituciones científicas y tecnológicas para el abordaje de temas asociados a la acción climática,"Adaptación, Mitigación y Pérdidas y daños","Ministerio de Ciencia, Tecnología e Innovación",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adaptación, Mitigación y Pérdidas y daños",IN-12,"Investigación, desarrollo tecnológico e innovación",Transferencia y extensión de conocimientos y tecnologías,"Promover el financiamiento de proyectos de generación y transferencia del conocimiento científico-tecnológico de alcance municipal, de CABA, provincial y regional","Adaptación, Mitigación y Pérdidas y daños","Ministerio de Ciencia, Tecnología e Innovación",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adaptación, Mitigación y Pérdidas y daños",IN-13,"Investigación, desarrollo tecnológico e innovación",Transferencia y extensión de conocimientos y tecnologías,Brindar incentivos a estudiantes universitarios para formarse en temáticas asociadas al cambio climático,"Adaptación, Mitigación y Pérdidas y daños","Ministerio de Ciencia, Tecnología e Innovación",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación,MS-01,Movilidad sostenible,Adaptación de la infraestructura y la operación del transporte al cambio climático,Promover la incorporación del enfoque de adaptación al cambio climático en el diseño y mantenimiento de infraestructuras de transporte,Adaptación,Ministerio de Transporte,6,,,,,,,,,,,,,,,,,,,,x,,,x,x,,x,x,,x,,,,,,
Adaptación,MS-02,Movilidad sostenible,Adaptación de la infraestructura y la operación del transporte al cambio climático,Incorporar infraestructura fluvio marítima de transporte resiliente,Adaptación,Ministerio de Transporte,2,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,
Adaptación,MS-03,Movilidad sostenible,Adaptación de la infraestructura y la operación del transporte al cambio climático,Evaluar los impactos del cambio climático en los sistemas de transporte,Adaptación,Ministerio de Transporte,6,,,x,,,,x,x,,,,,,x,,,,,,,,,,,,,,,x,x,,,,,
Adaptación,MS-04,Movilidad sostenible,Adaptación de la infraestructura y la operación del transporte al cambio climático,Fortalecer la prevención y contingencia ante eventos extremos de Cambio climático ,Adaptación,Ministerio de Transporte,7,,,,,,,,,,,,,,,,,,,,x,,,x,x,,x,x,,x,x,,,,,
Adaptación,MS-05,Movilidad sostenible,Adaptación de la infraestructura y la operación del transporte al cambio climático,Fortalecer las capacidades de las personas responsables del diseño y planificación de las infraestructuras de transporte en adaptación al cambio climático,Adaptación,Ministerio de Transporte,5,,,x,,,,,x,,,,,,x,,,,,,,,,,,,,,,x,x,,,,,
Mitigación,MS-06,Movilidad sostenible,Desarrollo de la movilidad sostenible a nivel urbano,Apoyar el desarrollo de sistemas de movilidad urbana sostenible,Mitigación,Ministerio de Transporte,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitigación,MS-07,Movilidad sostenible,Desarrollo de la movilidad sostenible a nivel urbano,Afianzar y difundir modalidades de trabajo a distancia (Teletrabajo),Mitigación,Ministerio de Transporte,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitigación,MS-08,Movilidad sostenible,Desarrollo de la movilidad sostenible a nivel urbano,"Promover la movilidad sostenible a partir de proyectos de senderos, paseos peatonales, bicisendas y ciclovías",Mitigación,MOP+MDTyH,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitigación,MS-09,Movilidad sostenible,Fortalecimiento del sistema ferroviario,Jerarquizar los servicios ferroviarios de transporte de pasajeros/as,Mitigación,Ministerio de Transporte,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitigación,MS-10,Movilidad sostenible,Fortalecimiento del sistema ferroviario,Jerarquizar los ferrocarriles nacionales de cargas,Mitigación,Ministerio de Transporte,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,MS-11,Movilidad sostenible,Jerarquización de las vías navegables,Jerarquizar el transporte fluvio-marítimo,Mitigación,Ministerio de Transporte,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitigación,MS-12,Movilidad sostenible,Reducción de Emisiones de la Aviación Argentina.,Reducir las emisiones de la aviación argentina,Mitigación,Ministerio de Transporte,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitigación,MS-13,Movilidad sostenible,Reemplazo progresivo de los combustibles fósiles,Promover la renovación de la flota vehicular pública,Mitigación,Ministerio de Transporte,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitigación,MS-14,Movilidad sostenible,Reemplazo progresivo de los combustibles fósiles,Promover la renovación de vehículos particulares livianos,Mitigación,Ministerio de Transporte y Secretaría de Energía,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitigación,MS-15,Movilidad sostenible,Reemplazo progresivo de los combustibles fósiles,Promover la renovación de flota de camiones utilizados en el transporte de cargas de larga distancia,Mitigación,Ministerio de Transporte,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitigación,MS-16,Movilidad sostenible,Reemplazo progresivo de los combustibles fósiles,Promover la renovación de flota de vehículos utilizados en el distribución de mercaderías y paquetes de última milla,Mitigación,Ministerio de Transporte,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitigación,MS-17,Movilidad sostenible,Reemplazo progresivo de los combustibles fósiles,Promover la renovación de flota de buses de transporte urbano de pasajeros/as,Mitigación,Ministerio de Transporte,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitigación,MS-18,Movilidad sostenible,Reemplazo progresivo de los combustibles fósiles,Promover la renovación de flota de buses de transporte de pasajeros/as de larga distancia,Mitigación,Ministerio de Transporte,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitigación,MS-19,Movilidad sostenible,Reemplazo progresivo de los combustibles fósiles,Promover la renovación de flota de buques de cabotaje,Mitigación,Ministerio de Transporte,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitigación,MS-20,Movilidad sostenible,Reemplazo progresivo de los combustibles fósiles,Promover la renovación de flotas de buques remolcadores,Mitigación,Ministerio de Transporte y Secretaría de Energía,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitigación,MS-21,Movilidad sostenible,Uso eficiente de la energía del sector transporte,Promover medidas de eficiencia en el sector transporte,Mitigación,Ministerio de Transporte y Secretaría de Energía,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,SA-01,Salud,Fortalecimiento de la gobernanza del sector Salud para afrontar los desafíos del cambio climático,Sostener y fortalecer el Programa Nacional y formalizar la mesa de trabajo de cambio climático al interior del Ministerio de Salud,Adaptación y Mitigación,Ministerio de Salud,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación,SA-02,Salud,Fortalecimiento de la gobernanza del sector Salud para afrontar los desafíos del cambio climático,Promover la creación de mesas de trabajo sobre cambio climático y salud en los Ministerio de Salud de las provincias,Adaptación y Mitigación,Ministerio de Salud,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación,SA-03,Salud,Fortalecimiento de la gobernanza del sector Salud para afrontar los desafíos del cambio climático,Fortalecer las capacidades de los equipos de salud acerca de los efectos de la variabilidad climática y el cambio climático sobre la salud.,Adaptación,Ministerio de Salud,6,,,,,,,,x,x,,,,,x,,,,,,,x,x,,,,,,,,,,x,,,
Adaptación,SA-04,Salud,Fortalecimiento de la gobernanza del sector Salud para afrontar los desafíos del cambio climático,Sensibilizar a la comunidad acerca de los efectos de la variabilidad climática y el cambio climático sobre la salud.,Adaptación,Ministerio de Salud,10,,,x,,x,x,x,x,x,,,x,,,,,,,,,x,x,,,,,,,,,,x,,,
Adaptación,SA-05,Salud,Fortalecimiento del sistema de salud frente al cambio climático,"Fortalecer la capacidad de respuesta del sector salud, a partir de la obtención de información oportuna sobre eventos de temperatura extrema (de calor y de frío)",Adaptación,Servicio Meteorológico Nacional,2,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
Adaptación,SA-06,Salud,Fortalecimiento del sistema de salud frente al cambio climático,Fortalecer la capacidad del sector salud para reducir los riesgos relacionados con los eventos de temperatura extrema (de calor y de frío),Adaptación,Ministerio de Salud,5,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,x,x,
Adaptación,SA-07,Salud,Fortalecimiento del sistema de salud frente al cambio climático,"Fortalecer la capacidad de respuesta del sector salud, a partir de la obtención de información oportuna relacionada con inundaciones",Adaptación,Servicio Meteorológico Nacional; Instituto Nacional del Agua; Ministerio de Salud,3,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,
Adaptación,SA-08,Salud,Fortalecimiento del sistema de salud frente al cambio climático,Contribuir a la reducción de los riesgos para la salud relacionados con inundaciones a través de la implementación de medidas de promoción y protección de la salud,Adaptación,Ministerio de Salud,11,,x,x,,x,,,,x,,,x,x,,,,,,,x,,,,,,,,,x,,,x,x,x,
Adaptación,SA-09,Salud,Fortalecimiento del sistema de salud frente al cambio climático,Fortalecer la capacidad del sector salud para reducir los riesgos relacionados con las sequías,Adaptación,Ministerio de Salud,7,,x,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,x,x,
Adaptación,SA-10,Salud,Fortalecimiento del sistema de salud frente al cambio climático,Fortalecer la capacidad del sector salud para asegurar el funcionamiento adecuado de los servicios de salud durante emergencias y desastres climáticos,Adaptación,Ministerio de Salud,5,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,x,x,x,
Adaptación,SA-11,Salud,Fortalecimiento del sistema de salud frente al cambio climático,Contribuir a la reducción de los riesgos para la salud relacionados con enfermedades transmitidas por vectores a través de la implementación de medidas de promoción y protección de la salud,Adaptación,Ministerio de Salud,11,,,x,,x,,x,x,x,,,x,x,,,,,,,,,x,,,,,,,,,,x,x,x,
Adaptación,SA-12,Salud,Fortalecimiento del sistema de salud frente al cambio climático,Fortalecer la capacidad del sector salud para afrontar los desafíos del cambio climático relacionados con enfermedades de origen zoonótico a través de acciones de promoción y protección de la salud,Adaptación,Ministerio de Salud,12,,x,x,,x,,x,x,x,,,x,x,,,,,,,,,x,,,,,,,,,,x,x,x,
Adaptación,SA-13,Salud,Fortalecimiento del sistema de salud frente al cambio climático,Fortalecer la capacidad del sector salud para afrontar los desafíos del cambio climático relacionados con enfermedades estacionales sensibles al clima,Adaptación,Ministerio de Salud,1,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
Adaptación,SA-14,Salud,Fortalecimiento del sistema de salud frente al cambio climático,Fortalecer la capacidad del sector salud para afrontar los desafíos del cambio climático a partir de la integración de información en un observatorio de clima y salud,Adaptación,Ministerio de Salud,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación,SA-15,Salud,Fortalecimiento del sistema de salud frente al cambio climático,Desarrollar modelos predictivos del comportamiento de enfermedades sensibles al clima,Adaptación,Ministerio de Salud,1,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
Adaptación,SA-16,Salud,Fortalecimiento del sistema de salud frente al cambio climático,"Fortalecer la capacidad del sector salud, a partir de la obtención de información oportuna relacionada con enfermedades trasmitidas por vectores",Adaptación,Ministerio de Salud,2,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,
Mitigación,SA-17,Salud,Transversalización de la salud en la política climática nacional,Dimensionar las emisiones de gases de efecto invernadero (GEI) provenientes del sector salud,Mitigación,Ministerio de Salud y Ministerio de Ambiente y Desarrollo Sostenible,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitigación,SA-18,Salud,Transversalización de la salud en la política climática nacional,Definir acciones tendientes a la reducción de GEI en establecimientos de atención de la salud.,Mitigación,Ministerio de Salud y Ministerio de Ambiente y Desarrollo Sostenible,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitigación,SA-19,Salud,Transversalización de la salud en la política climática nacional,Identificar los beneficios para la salud de la reducción de emisiones de gases de efecto invernadero,Mitigación,Ministerio de Salud,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitigación,SA-20,Salud,Transversalización de la salud en la política climática nacional,Identificar la contribuciones de las políticas sanitarias a la reducción de gases de efecto invernadero,Mitigación,Ministerio de Salud,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,TE-01,Transición energética,Desarrollo de capacidades tecnológicas nacionales,Desarrollar la cadena de valor de energías renovables,Adaptación y Mitigación,Secretaría de Industria y Desarrollo Productivo,1,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,TE-02,Transición energética,Eficiencia energética,Promover la mejora en el acondicionamiento térmico de ambientes en el sector residencial,Adaptación y Mitigación,Secretaría de Energía,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
Mitigación,TE-03,Transición energética,Eficiencia energética,"Sustituir equipos de conservación de alimentos en viviendas, comercios y entidades con fines socio-comunitarios",Mitigación,Secretaría de Energía,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitigación,TE-04,Transición energética,Eficiencia energética,Promover la eficiencia energética en la producción de agua caliente sanitaria,Mitigación,Secretaría de Energía,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,TE-05,Transición energética,Eficiencia energética,Incrementar la participación de luminarias con tecnología LED en inmuebles.,Adaptación y Mitigación,Secretaría de Energía,0,Tal vez 3.2.1 pero refiere a eficiencia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,TE-06,Transición energética,Eficiencia energética,Promover la incorporación de economizadores de agua en inmuebles,Adaptación y Mitigación,Secretaría de Energía,1,"La 3.3.1. refiere a cantidad y calidad, y la medida es más de eficiencia",,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,TE-07,Transición energética,Eficiencia energética,Mejorar la eficiencia energética en establecimientos industriales y comerciales,Adaptación y Mitigación,Secretaría de Energía y Secretaría de Industria y Desarrollo Productivo,0,Tal vez 3.2.1 pero refiere a eficiencia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,TE-08,Transición energética,Eficiencia energética,Sensibilizar y concientizar a las comunidades sobre el uso racional de la energía,Adaptación y Mitigación,Secretaría de Energía,0,Tal vez 3.2.1 pero refiere a eficiencia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitigación,TE-09,Transición energética,Eficiencia energética,Aumentar la eficiencia en la generación de electricidad en centrales termoeléctricas mediante cogeneración,Mitigación,Secretaría de Energía,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adaptación y Mitigación,TE-10,Transición energética,Eficiencia energética,Implementar proyectos de reconversión LED en alumbrado público,Adaptación y Mitigación,"Secretaría de Energía, Ministerio de Desarrollo Territorial y Hábitat y Ministerio de Obras Públicas",0,Tal vez 3.2.1 pero refiere a eficiencia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitigación,TE-11,Transición energética,Eficiencia energética,Incorporar bombas de calor para calefacción en inmuebles,Mitigación,Secretaría de Energía,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
