0,1
,⠀Falta de articulación entre los organismos de gestión y los\nresponsables de la generación de tecnología nacional.\n⠀Falta de estudios y de incentivos para medidas vinculadas con la\nrestauración y la conservación.\n⠀Falta de valorización de los servicios ecosistémicos de los bosques\ny falta de pago por su conservación.\n⠀Bajo nivel de control y de penalización de infracciones.\n⠀Políticas públicas discordantes con los objetivos de la Ley 26.331.\n⠀Falta de validación de los modelos productivos propuestos para el\nmanejo de los bosques.\n⠀Alta influencia de factores macroeconómicos externos.
Indicadores para el monitoreo,⠀Área en categorías rojo y amarillo de deforestación evitada\n⠀Área en categoría verde de deforestación evitada
Análisis enfoque de género y diversidad,Potencialmente transformadora de las brechas de género.
Análisis enfoque de gestión integral del riesgo,Medida que puede reducir el riesgo climático.
Análisis enfoque de salud,"Medida que genera beneficios para la salud debido a que contribuye a\nla conservación y aprovechamiento sostenible de los ecosistemas.\nAdemás, aporta a la mejora en la calidad de vida de comunidades\noriginarias y rurales."
Análisis enfoque de transición justa,A definir
Cobeneficios entre adaptación y mitigación,Esta medida no requiere análisis de cobeneficios. Aporta a la\nadaptación y la mitigación.
Relación con la Ley 27.520,Capítulo III: Plan Nacional de Adaptación y Mitigación al Cambio\nClimático. Artículo 19. Inc. f).\nCapítulo V: Medidas y Acciones Mínimas de Mitigación. Artículo 24.\nInc. g).
Medida,[CB-17] Promover la actualización del Ordenamiento Territorial\nde los Bosques Nativos
,[CB-17] Promover la actualización del Ordenamiento Territorial
,de los Bosques Nativos
Descripción,Promoción de la actualización de los 23 Ordenamientos Territoriales de\nBosques Nativos (OTBN) provinciales los cuales según establece la Ley\nN° 26.331 deben ser actualizados cada 5 años.\nLa Ley N° 26.331 propone al OTBN como una herramienta de\nplanificación estratégica primordial que sienta las bases para la\ngestión de los bosques nativos a nivel nacional.
,Promoción de la actualización de los 23 Ordenamientos Territoriales de
,Bosques Nativos (OTBN) provinciales los cuales según establece la Ley
,N° 26.331 deben ser actualizados cada 5 años.
,La Ley N° 26.331 propone al OTBN como una herramienta de
,planificación estratégica primordial que sienta las bases para la
,gestión de los bosques nativos a nivel nacional.
Metas,"Al 2030, se encuentran actualizados los OTBN de las 23 provincias."
Alcance geográfico o poblacional,Nacional
,Nacional
"Adaptación, mitigación o pérdidas y daños",Adaptación y mitigación
Riesgos climáticos asociados,"La medida aborda riesgos relacionados a: la degradación de tierras por\nerosión hídrica en ecosistemas; la afectación de los medios de vida de\nproductores/as pequeños, medianos, familiares, campesinos/as e\nindígenas; la afectación de la salud, el acceso a la vivienda y hábitat y\nla transitabilidad en barrios populares y poblaciones humanas en\ngeneral en entornos rurales y urbanos.\nLos bosques sostienen funciones ecosistémicas relacionadas a la\nregulación del ciclo hidrológico y el sostenimiento de biodiversidad,\nprestando servicios ecosistémicos de retención de agua, morigeración\nde inundaciones y provisión de recursos (forrajes, frutos, madera, etc).\nLa protección de su integridad permite reducir en forma directa\nvulnerabilidades relacionadas a los suelos para los ecosistemas y en\nforma indirecta vulnerabilidades de las comunidades humanas\nmencionadas."
Reducción estimada de emisiones al 2030 (MtCO2e),Con la información disponible al momento no se puede estimar la\nreducción de  emisiones para esta medida en particular.
[CB-17] Promover la actualización del Ordenamiento Territorial de los Bosques Nativos,
[CB-17] Promover la actualización del Ordenamiento Territorial,
de los Bosques Nativos,
Promoción de la actualización de los 23 Ordenamientos Territoriales de Bosques Nativos (OTBN) provinciales los cuales según establece la Ley N° 26.331 deben ser actualizados cada 5 años. La Ley N° 26.331 propone al OTBN como una herramienta de planificación estratégica primordial que sienta las bases para la gestión de los bosques nativos a nivel nacional.,
Promoción de la actualización de los 23 Ordenamientos Territoriales de,
Bosques Nativos (OTBN) provinciales los cuales según establece la Ley,
N° 26.331 deben ser actualizados cada 5 años.,
Promoción de la actualización de los 23 Ordenamientos Territoriales de Bosques Nativos (OTBN) provinciales los cuales según establece la Ley N° 26.331 deben ser actualizados cada 5 años. La Ley N° 26.331 propone al OTBN como una herramienta de planificación estratégica primordial que sienta las bases para la gestión de los bosques nativos a nivel nacional.,
La Ley N° 26.331 propone al OTBN como una herramienta de,
planificación estratégica primordial que sienta las bases para la,
gestión de los bosques nativos a nivel nacional.,
Nacional,
Nacional,
Autoridad de aplicación,"Dirección Nacional de Bosques, Ministerio de Ambiente y Desarrollo\nSostenible"
Estado de implementación,En implementación inicial\nDetalle: 2 de 23 provincias cuentan con su OTBN actualizado a agosto\nde 2022. Los plazos para la actualización del resto de los OTBN se\nencuentran vencidos.
Período de ejecución,En ejecución-2030
Estimación de gastos al 2030,Esta estimación es variable ya que:\n⠀El presupuesto asignado por ley varía anualmente;\n⠀El gasto se conformará en base a lo asignado por parte de los\ngobiernos subnacionales.
Financiamiento,Tesoro Nacional\nDetalle:  Fondo Nacional para el Enriquecimiento y Conservación de\nlos Bosques Nativos (FNECBN) y Programa Nacional de Protección de\nlos Bosques Nativos (PNPBN).
Instrumentos y herramientas de implementación,"⠀Ley N° 26.331 y su decreto reglamentario.\n⠀Fondo Nacional para el Enriquecimiento y Conservación de los\nBosques Nativos (FNECBN).\n⠀Programa Nacional de Protección de los Bosques Nativos\n(PNPBN).\n⠀Pautas y lineamientos acordados en el marco del COFEMA para la\nactualización de los OTBN (Res. COFEMA 230/12, 236/12, 350/17,\n427/20)."
Necesidades y barreras,Necesidades:\n⠀Articulación con gobiernos subnacionales.
,"⠀Robustecimiento de capacidades de equipos subnacionales.\n⠀Procesos de participación amplios y transparentes.\n⠀Cartografía de bosques nativos acordada en el ámbito del\nCOFEMA, contemplando las pautas técnicas aprobadas mediante\nRes. COFEMA 230/12.\n⠀Información espacialmente explícita sobre el estado de los\nbosques y los criterios de sustentabilidad ambiental.\n⠀Funcionamiento de la Subcomisión de OTBN encomendada por el\nCOFEMA en el marco de la Res. 425/2020.\nBarreras:\n⠀Manejo o negociación de intereses sobre tipos de uso de los\nbosques.\n⠀Falta de incentivos o consecuencias frente a la no actualización de\nlos OTBN.\n⠀Recursos humanos escasos y falta de permanencia o estabilidad\nde técnicos capacitados en los organismos de gestión."
Indicadores para el monitoreo,Cantidad de provincias con OTBN actualizado
Análisis enfoque de género y diversidad,Potencialmente transformadora de las brechas de género.
Análisis enfoque de gestión integral del riesgo,Medida que genera una reducción del riesgo climático.
Análisis enfoque de salud,"Medida que genera beneficios para la salud debido a que contribuye a\nla conservación y aprovechamiento sostenible de los ecosistemas.\nAdemás, aporta a la mejora en la calidad de vida de comunidades\noriginarias y rurales."
,edida que genera beneficios para la salud debido a que contribuye a
,a conservación y aprovechamiento sostenible de los ecosistemas.
,"demás, aporta a la mejora en la calidad de vida de comunidades"
,riginarias y rurales.
Análisis enfoque de transición justa,A definir
"Medida que genera beneficios para la salud debido a que contribuye a la conservación y aprovechamiento sostenible de los ecosistemas. Además, aporta a la mejora en la calidad de vida de comunidades originarias y rurales.",
edida que genera beneficios para la salud debido a que contribuye a,
a conservación y aprovechamiento sostenible de los ecosistemas.,
"demás, aporta a la mejora en la calidad de vida de comunidades",
riginarias y rurales.,
Cobeneficios entre adaptación y mitigación,Esta medida no requiere análisis de cobeneficios. Aporta a la\nadaptación y la mitigación.
Relación con la Ley 27.520,Capítulo IV: Medidas y Acciones Mínimas de Adaptación. Artículo 22.\nInc. h).\nCapítulo V: Medidas y Acciones Mínimas de Mitigación. Artículo 23.\nArtículo 24. Inc. g).
Medida,[CB-18] Elaborar cartografía de las zonas más vulnerables a la\ndegradación de tierras y la desertificación debido a los factores\nclimáticos en los futuros escenarios
,CB-18] Elaborar cartografía de las zonas más vulnerables a l
,egradación de tierras y la desertificación debido a los factore
,limáticos en los futuros escenarios
Descripción,"Elaboración de mapas que permitan identificar aquellas tierras que por\nmotivos edáficos, socioeconómicos y climáticos puedan ser más\nsusceptibles a la degradación de tierras o desertificación, fenómenos\nque se ven exacerbados por diferentes variables climáticas en las\ndistintas regiones del país."
,laboración de mapas que permitan identificar aquellas tierras que por
,"otivos edáficos, socioeconómicos y climáticos puedan ser más"
,"usceptibles a la degradación de tierras o desertificación, fenómenos"
,ue se ven exacerbados por diferentes variables climáticas en las
,istintas regiones del país.
Metas,"Al 2028, se cuenta con cartografía a escala de 30 metros para todo el\npaís de tierras vulnerables a ser degradadas frente al cambio y la\nvariabilidad climática."
Alcance geográfico o poblacional,Nacional
"Adaptación, mitigación o pérdidas y daños",Adaptación y mitigación
Riesgos climáticos asociados,"La medida aborda riesgos vinculados a la degradación de tierras y por\nlo tanto, al incremento previsto de días consecutivos secos y\nprecipitaciones torrenciales, eventos que exacerban la posibilidad de\npérdida de estructura y textura de los suelos. Al generar un insumo\nque permita identificar qué áreas son más vulnerables a sufrir\nprocesos de degradación frente al cambio climático, contribuye a\npriorizar acciones de restauración o prevención de la degradación.\nAdemás, puede disminuir los riesgos relacionados a pérdida de medios\nde vida de la agricultura familiar, campesina e indígena frente a la\ndisminución de pérdidas productivas en el largo plazo por la\ndegradación de tierras."
Reducción estimada de emisiones al 2030 (MtCO2e),N/A
[CB-18] Elaborar cartografía de las zonas más vulnerables a la degradación de tierras y la desertificación debido a los factores climáticos en los futuros escenarios,
CB-18] Elaborar cartografía de las zonas más vulnerables a l,
egradación de tierras y la desertificación debido a los factore,
limáticos en los futuros escenarios,
"Elaboración de mapas que permitan identificar aquellas tierras que por motivos edáficos, socioeconómicos y climáticos puedan ser más susceptibles a la degradación de tierras o desertificación, fenómenos que se ven exacerbados por diferentes variables climáticas en las distintas regiones del país.",
laboración de mapas que permitan identificar aquellas tierras que por,
"otivos edáficos, socioeconómicos y climáticos puedan ser más",
"usceptibles a la degradación de tierras o desertificación, fenómenos",
ue se ven exacerbados por diferentes variables climáticas en las,
istintas regiones del país.,
Autoridad de aplicación,Ministerio de Ambiente y Desarrollo Sostenible:\n⠀Dirección Nacional de Planeamiento y Ordenamiento Ambiental\nTerritorial\n⠀Dirección Nacional de Cambio Climático
Estado de implementación,En programación
Período de ejecución,2023-2028
Estimación de gastos al 2030,USD 24.000
Financiamiento,⠀Tesoro Nacional\n⠀Fuentes internacionales
,⠀Fuentes internacionales
Instrumentos y herramientas de implementación,"⠀Observatorio Nacional de Degradación de Tierras y\nDesertificación y las instituciones que lo conforman de acuerdo a\nsus planes, programas y proyectos.\n⠀Tercera Comunicación Nacional de Cambio Climático."
Necesidades y barreras,Necesidades:\n⠀Definición de criterios para definir tierras susceptibles a la\ndegradación de tierras y la desertificación por el cambio climático.\n⠀Cálculo de proyecciones climáticas de vientos.\n⠀Recursos financieros para la implementación de la medida.
Indicadores para el monitoreo,Mapa de desertificación elaborado.
⠀Tesoro Nacional ⠀Fuentes internacionales,
⠀Fuentes internacionales,
Análisis enfoque de género y diversidad,Potencialmente transformadora de las brechas de género.
Análisis enfoque de gestión integral del riesgo,Medida que reduce el riesgo climático. En su ejecución se incorporará\nla cartografía elaborada al SINAME.
,Medida que reduce el riesgo climático. En su ejecución se incorporará
,la cartografía elaborada al SINAME.
Análisis enfoque de salud,"Medida que genera beneficios para la salud debido a que contribuye a\nla prevención de la desertificación / degradación del suelo y a mejoras\nen la calidad del aire exterior. Además, aporta a la mejora en la calidad\nde vida de comunidades originarias y rurales."
Análisis enfoque de transición justa,A definir
Cobeneficios entre adaptación y mitigación,Esta medida no requiere análisis de cobeneficios. Aporta a la\nadaptación y la mitigación.
Relación con la Ley 27.520,Capítulo IV: Medidas y Acciones Mínimas de Adaptación. Artículo 22.\nInc. f).
Medida que reduce el riesgo climático. En su ejecución se incorporará la cartografía elaborada al SINAME.,
Medida que reduce el riesgo climático. En su ejecución se incorporará,
la cartografía elaborada al SINAME.,
Medida,[CB-19] Elaborar un diagnóstico de impactos y riesgos producto\ndel cambio climático sobre ambientes glaciares
,[CB-19] Elaborar un diagnóstico de impactos y riesgos producto
,del cambio climático sobre ambientes glaciares
Descripción,"Elaboración de diagnósticos de riesgos asociados al retroceso de\nglaciares en función de lo previsto por el cambio y la variabilidad\nclimática, en base a los estudios disponibles y la posibilidad de generar\nproyecciones climáticas específicas para ambientes glaciares a partir\nde las capacidades científicas nacionales."
,Elaboración de diagnósticos de riesgos asociados al retroceso d
,glaciares en función de lo previsto por el cambio y la variabilidad
,"climática, en base a los estudios disponibles y la posibilidad de generar"
,proyecciones climáticas específicas para ambientes glaciares a partir
,de las capacidades científicas nacionales.
Metas,"Al 2030, se cuenta con la identificación de impactos y riesgos del\ncambio climático asociados al retroceso de ambientes glaciares y\nperiglaciares de todo el territorio nacional, basados en estudios en\nsitios representativos de las 5 regiones de glaciares de Argentina\n(Andes desérticos, Andes centrales, Andes del norte de la Patagonia,\nAndes del sur de la Patagonia y Andes de Tierra del Fuego e Islas del\nAtlántico Sur)."
Alcance geográfico o poblacional,Regional (12 provincias cordilleranas con ambientes glaciares y\nperiglaciares en su territorio). Siete millones de habitantes en cuencas\ncon glaciares y ambientes periglaciares.
"Adaptación, mitigación o pérdidas y daños",Adaptación
Riesgos climáticos asociados,"La medida aborda riesgos asociados a los cambios en la disponibilidad\nhídrica y en la estabilidad del paisaje debido al retroceso de glaciares\nque repercuten sobre: la disponibilidad de agua para consumo humano\nen población urbana y rural; la estabilidad del suministro eléctrico\nnecesaria para garantizar el confort de la población y sostener las\nactividades productivas que constituyen sus fuentes de ingresos; la\ntransitabilidad de los caminos que incide también en estas actividades\nproductivas, en la seguridad física de las personas y en el acceso a la\nsalud; y en la degradación de suelos que afecta directamente a los\nmedios de vida de la agricultura familiar, campesina e indígena.\nContar con diagnósticos sobre dicha situación permite administrar más\neficiente y equitativamente el recurso hídrico y evitar o bien prevenir\nconsecuencias negativas de los procesos de remoción en masa."
[CB-19] Elaborar un diagnóstico de impactos y riesgos producto del cambio climático sobre ambientes glaciares,
[CB-19] Elaborar un diagnóstico de impactos y riesgos producto,
del cambio climático sobre ambientes glaciares,
"Elaboración de diagnósticos de riesgos asociados al retroceso de glaciares en función de lo previsto por el cambio y la variabilidad climática, en base a los estudios disponibles y la posibilidad de generar proyecciones climáticas específicas para ambientes glaciares a partir de las capacidades científicas nacionales.",
Elaboración de diagnósticos de riesgos asociados al retroceso d,
glaciares en función de lo previsto por el cambio y la variabilidad,
"climática, en base a los estudios disponibles y la posibilidad de generar",
proyecciones climáticas específicas para ambientes glaciares a partir,
de las capacidades científicas nacionales.,
Reducción estimada de emisiones al 2030 (MtCO2e),N/A
Autoridad de aplicación,"Dirección Nacional de Gestión Ambiental del Agua y Ecosistemas,\nMinisterio de Ambiente y Desarrollo Sostenible"
Estado de implementación,En programación
Período de ejecución,2023-2030
Estimación de gastos al 2030,USD 511.925
,USD 511.925
Financiamiento,Fuentes internacionales
Instrumentos y herramientas de implementación,⠀Ley 27.520.\n⠀Ley 26.639.
Necesidades y barreras,⠀Necesidad de articulación y colaboración de las 12 provincias\ncordilleranas.\n⠀Necesidad de actualización y ampliación del Inventario Nacional\nde Glaciares.
Indicadores para el monitoreo,Existencia de diagnósticos para cada región de glaciares
Análisis enfoque de género y diversidad,Potencialmente transformadora de las brechas de género.
USD 511.925,
USD 511.925,
Análisis enfoque de gestión integral del riesgo,Medida que puede reducir el riesgo climático. En su ejecución se\nincorporará la cartografía elaborada al SINAME.
,Medida que puede reducir el riesgo climático. En su ejecución se
,incorporará la cartografía elaborada al SINAME.
Análisis enfoque de salud,Medida que genera beneficios para la salud  dado que muchos\nglaciares dan origen a ríos de montaña que son fuentes de agua\npotable y para la producción agrícola.
,Medida que genera beneficios para la salud  dado que muchos
,glaciares dan origen a ríos de montaña que son fuentes de agu
,potable y para la producción agrícola.
Análisis enfoque de transición justa,A definir
Cobeneficios entre adaptación y mitigación,No se identifican sinergias ni concesiones con la reducción de\nemisiones del sector.
Relación con la Ley 27.520,Capítulo IV: Medidas y Acciones Mínimas de Adaptación.\nArtículo 22. Inc. c) y j).
Medida que puede reducir el riesgo climático. En su ejecución se incorporará la cartografía elaborada al SINAME.,
Medida que puede reducir el riesgo climático. En su ejecución se,
incorporará la cartografía elaborada al SINAME.,
Medida que genera beneficios para la salud  dado que muchos glaciares dan origen a ríos de montaña que son fuentes de agua potable y para la producción agrícola.,
Medida que genera beneficios para la salud  dado que muchos,
glaciares dan origen a ríos de montaña que son fuentes de agu,
potable y para la producción agrícola.,
Medida,[CB-20] Generar criterios de identificación de suelos congelados\ncon vistas a la elaboración de un plan para su relevamiento
Descripción,"Avance en la planificación necesaria para lograr el establecimiento de\nun sistema de relevamiento de suelos congelados a nivel nacional, en\narticulación con las provincias. Como primer paso se elaborará una\ndefinición de suelos congelados y se elaborarán criterios para su\nidentificación y relevamiento. Para el desarrollo de esta medida se\ntrabajará en articulación con los equipos técnicos territoriales."
,Avance en la planificación necesaria para lograr el establecimiento de
,"un sistema de relevamiento de suelos congelados a nivel nacional, en"
,articulación con las provincias. Como primer paso se elaborará un
,definición de suelos congelados y se elaborarán criterios para su
,identificación y relevamiento. Para el desarrollo de esta medida se
,trabajará en articulación con los equipos técnicos territoriales.
Metas,"Al 2026, existe una definición de suelos congelados y criterios para su\nidentificación."
Alcance geográfico o poblacional,Regional (12 provincias cordilleranas con ambiente periglacial y suelos\ncongelados en su territorio). Siete millones de habitantes en cuencas\ncon glaciares y ambientes periglaciares.
"Adaptación, mitigación o pérdidas y daños",Adaptación
Riesgos climáticos asociados,"La medida supone contar con un diagnóstico y seguimiento de los\nsuelos congelados que permitiría, fundamentalmente, prevenir, evitar\ny/o reducir consecuencias negativas de los procesos de remoción en\nmasa y, adicionalmente, administrar más equitativa y eficientemente\nel recurso hídrico.\nLos cambios en la disponibilidad hídrica y en la estabilidad del paisaje\ndebido al descongelamiento de suelos suponen riesgos sobre: la\ndisponibilidad de agua para consumo humano en población urbana y\nrural; la estabilidad del suministro eléctrico necesaria para garantizar el\nconfort de la población y sostener las actividades productivas que\nconstituyen sus fuentes de ingresos; la transitabilidad de los caminos\nque incide también en estas actividades productivas, en la seguridad\nfísica de las personas y en el acceso a la salud; y en la degradación de\nsuelos que afecta directamente a los medios de vida de la agricultura\nfamiliar, campesina e indígena."
Reducción estimada de emisiones al 2030,N/A
"Avance en la planificación necesaria para lograr el establecimiento de un sistema de relevamiento de suelos congelados a nivel nacional, en articulación con las provincias. Como primer paso se elaborará una definición de suelos congelados y se elaborarán criterios para su identificación y relevamiento. Para el desarrollo de esta medida se trabajará en articulación con los equipos técnicos territoriales.",
Avance en la planificación necesaria para lograr el establecimiento de,
"un sistema de relevamiento de suelos congelados a nivel nacional, en",
articulación con las provincias. Como primer paso se elaborará un,
definición de suelos congelados y se elaborarán criterios para su,
identificación y relevamiento. Para el desarrollo de esta medida se,
trabajará en articulación con los equipos técnicos territoriales.,
(MtCO2e),
Autoridad de aplicación,"Dirección Nacional de Gestión Ambiental del Agua y Ecosistemas\nAcuáticos, Ministerio de Ambiente y Desarrollo Sostenible"
Estado de implementación,En programación
Período de ejecución,2023-2026
Estimación de gastos al 2030,A definir
Financiamiento,Fuentes internacionales
Instrumentos y herramientas de implementación,Ley 26.639
Necesidades y barreras,"Necesidades:\n⠀Articulación con los estados subnacionales, por lo que resulta\nnecesario que se den las condiciones para que las provincias se\ninvolucren en el proceso, tanto para la definición del concepto de\nambientes periglaciares como para la definición del plan en sí.\n⠀Recursos financieros para la incorporación de técnicos\nespecializados en la planificación."
Indicadores para el monitoreo,Existencia de una planificación para el relevamiento  de suelos\ncongelados
Análisis enfoque de,Potencialmente transformadora de las brechas de género.
género y diversidad,
Análisis enfoque de gestión integral del riesgo,Medida que genera una reducción del riesgo climático.
,Medida que genera una reducción del riesgo climático.
Análisis enfoque de salud,Medida que genera beneficios para la salud  dado que contribuye a la\nconservación de los ecosistemas de montaña al tiempo que contribuye\na la preservación de ríos de montaña que son fuentes de agua potable\ny para la producción agrícola.
,Medida que genera beneficios para la salud  dado que contribuye a la
,conservación de los ecosistemas de montaña al tiempo que contribuy
,a la preservación de ríos de montaña que son fuentes de agua potable
,y para la producción agrícola.
Análisis enfoque de transición justa,A definir
Cobeneficios entre adaptación y mitigación,No se identifican sinergias ni concesiones con la reducción de\nemisiones del sector.
Relación con la Ley 27.520,Capítulo IV: Medidas y Acciones Mínimas de Adaptación. Artículo 22.\nInc. c) y j).
Medida que genera una reducción del riesgo climático.,
Medida que genera una reducción del riesgo climático.,
Medida que genera beneficios para la salud  dado que contribuye a la conservación de los ecosistemas de montaña al tiempo que contribuye a la preservación de ríos de montaña que son fuentes de agua potable y para la producción agrícola.,
Medida que genera beneficios para la salud  dado que contribuye a la,
conservación de los ecosistemas de montaña al tiempo que contribuy,
a la preservación de ríos de montaña que son fuentes de agua potable,
y para la producción agrícola.,
Medida,[CB-21] Impulsar el Plan Regional de Adaptación al Cambio\nClimático del Delta del Río  Paraná (PRACC - DP)
,[CB-21] Impulsar el Plan Regional de Adaptación al Cambi
,Climático del Delta del Río  Paraná (PRACC - DP)
Descripción,"Realización e implementación de una planificación regional\nconsensuada para el territorio del Delta del río Paraná –compartido\npor las jurisdicciones de las provincias de Buenos Aires, Entre Ríos y\nSanta Fe– para establecer y adaptar instrumentos y herramientas de\ngestión que permitan hacer frente de forma coordinada a las\nalteraciones en las variables climáticas atribuibles al cambio climático,\nque exacerban otras amenazas antrópicas y ponen en riesgo la\nintegridad de este paisaje de humedales y las funciones ecosistémicas\ndel mismo, fundamentales para el bienestar de las poblaciones\nhumanas que viven en él, de las numerosas localidades aledañas a\neste territorio, y de la biodiversidad.\nDe esta forma se espera contar con herramientas para llevar adelante\ny mejorar las prácticas productivas de forma sostenible (Manejo\nSostenible de Tierras), basadas en los bienes y servicios que proveen\nlos ecosistemas.\nEsto conlleva retomar lo ya elaborado en el Plan Integral Estratégico\npara la Conservación y Aprovechamiento Sostenible en el Delta del\nParaná (PIECAS-DP), realizar análisis de riesgos asociados al cambio\nclimático -incluyendo pero sin limitarse a aquellos vinculados al\nretroceso de los caudales medios del Paraná y algunos de sus\nafluentes, los cambios en el transporte de sedimentos, en los\npatrones de distribución de especies nativas y exóticas,\nespecialmente para las que puedan ser invasoras, la acumulación de\nmateria seca que pueda favorecer la propagación de incendios, la\nretracción de cuerpos de agua que facilite la pampeanización de los\nhumedales, las afectaciones a la ictiofauna, entre otras- llevar\nadelante procesos participativos con todos los actores en territorio,\nfortalecer los planes de manejo de las diversas áreas protegidas que\ncomprende con perspectiva de cambio climático y el ordenamiento\nambiental del territorio, y generar herramientas que permitan la\npresencia sostenida de los distintos niveles del Estado, así como\ninstrumentos de intervención ágiles frente a situaciones de\nemergencia."
,Realización e implementación de una planificación regional
,consensuada para el territorio del Delta del río Paraná –compartido
,"por las jurisdicciones de las provincias de Buenos Aires, Entre Ríos y"
,Santa Fe– para establecer y adaptar instrumentos y herramientas de
,gestión que permitan hacer frente de forma coordinada a las
,"alteraciones en las variables climáticas atribuibles al cambio climático,"
que exacerban otras amenazas antrópicas y ponen en riesgo l,
,integridad de este paisaje de humedales y las funciones ecosistémica
,"del mismo, fundamentales para el bienestar de las poblaciones"
,"humanas que viven en él, de las numerosas localidades aledañas a"
,"este territorio, y de la biodiversidad."
,De esta forma se espera contar con herramientas para llevar adelante
,y mejorar las prácticas productivas de forma sostenible (Manejo
,"Sostenible de Tierras), basadas en los bienes y servicios que provee"
,los ecosistemas.
,Esto conlleva retomar lo ya elaborado en el Plan Integral Estratégico
,para la Conservación y Aprovechamiento Sostenible en el Delta del
,"Paraná (PIECAS-DP), realizar análisis de riesgos asociados al cambi"
,climático -incluyendo pero sin limitarse a aquellos vinculados al
,retroceso de los caudales medios del Paraná y algunos de sus
,"afluentes, los cambios en el transporte de sedimentos, en lo"
,"patrones de distribución de especies nativas y exóticas,"
,"especialmente para las que puedan ser invasoras, la acumulación de"
,"materia seca que pueda favorecer la propagación de incendios, la"
,retracción de cuerpos de agua que facilite la pampeanización de lo
,"humedales, las afectaciones a la ictiofauna, entre otras- lleva"
,adelante procesos participativos con todos los actores en territorio
,fortalecer los planes de manejo de las diversas áreas protegidas qu
,comprende con perspectiva de cambio climático y el ordenamient
,"ambiental del territorio, y generar herramientas que permitan la"
,"presencia sostenida de los distintos niveles del Estado, así com"
,instrumentos de intervención ágiles frente a situaciones d
,emergencia.
Metas,"Al 2025:\n⠀Se cuenta con el PRACC-DP elaborado.\n⠀Se inicia la etapa de implementación del PRACC-DP.\nAl 2030, el PRACC-DP continúa vigente y en implementación."
[CB-21] Impulsar el Plan Regional de Adaptación al Cambio Climático del Delta del Río  Paraná (PRACC - DP),
[CB-21] Impulsar el Plan Regional de Adaptación al Cambi,
Climático del Delta del Río  Paraná (PRACC - DP),
"Realización e implementación de una planificación regional consensuada para el territorio del Delta del río Paraná –compartido por las jurisdicciones de las provincias de Buenos Aires, Entre Ríos y Santa Fe– para establecer y adaptar instrumentos y herramientas de gestión que permitan hacer frente de forma coordinada a las alteraciones en las variables climáticas atribuibles al cambio climático, que exacerban otras amenazas antrópicas y ponen en riesgo la integridad de este paisaje de humedales y las funciones ecosistémicas del mismo, fundamentales para el bienestar de las poblaciones humanas que viven en él, de las numerosas localidades aledañas a este territorio, y de la biodiversidad. De esta forma se espera contar con herramientas para llevar adelante y mejorar las prácticas productivas de forma sostenible (Manejo Sostenible de Tierras), basadas en los bienes y servicios que proveen los ecosistemas. Esto conlleva retomar lo ya elaborado en el Plan Integral Estratégico para la Conservación y Aprovechamiento Sostenible en el Delta del Paraná (PIECAS-DP), realizar análisis de riesgos asociados al cambio climático -incluyendo pero sin limitarse a aquellos vinculados al retroceso de los caudales medios del Paraná y algunos de sus afluentes, los cambios en el transporte de sedimentos, en los patrones de distribución de especies nativas y exóticas, especialmente para las que puedan ser invasoras, la acumulación de materia seca que pueda favorecer la propagación de incendios, la retracción de cuerpos de agua que facilite la pampeanización de los humedales, las afectaciones a la ictiofauna, entre otras- llevar adelante procesos participativos con todos los actores en territorio, fortalecer los planes de manejo de las diversas áreas protegidas que comprende con perspectiva de cambio climático y el ordenamiento ambiental del territorio, y generar herramientas que permitan la presencia sostenida de los distintos niveles del Estado, así como instrumentos de intervención ágiles frente a situaciones de emergencia.",
Esto conlleva retomar lo ya elaborado en el Plan Integral Estratégico,
para la Conservación y Aprovechamiento Sostenible en el Delta del,
"Paraná (PIECAS-DP), realizar análisis de riesgos asociados al cambi",
climático -incluyendo pero sin limitarse a aquellos vinculados al,
retroceso de los caudales medios del Paraná y algunos de sus,
"afluentes, los cambios en el transporte de sedimentos, en lo",
"patrones de distribución de especies nativas y exóticas,",
"especialmente para las que puedan ser invasoras, la acumulación de",
"materia seca que pueda favorecer la propagación de incendios, la",
retracción de cuerpos de agua que facilite la pampeanización de lo,
"humedales, las afectaciones a la ictiofauna, entre otras- lleva",
adelante procesos participativos con todos los actores en territorio,
fortalecer los planes de manejo de las diversas áreas protegidas qu,
comprende con perspectiva de cambio climático y el ordenamient,
"ambiental del territorio, y generar herramientas que permitan la",
"presencia sostenida de los distintos niveles del Estado, así com",
instrumentos de intervención ágiles frente a situaciones d,
emergencia.,
